Publisher,Journal Title,eISSN,eISSN Link,Journal Website,Open Access Options,Embargo & Sharing Policy,APC Information,Notes
American Chemical Society (ACS),ACS Agricultural Science & Technology,2692-1952,https://portal.issn.org/resource/ISSN/2692-1952,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Applied Bio Materials,2576-6422,https://portal.issn.org/resource/ISSN/2576-6422,https://pubs.acs.org/journal/aabmcb,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Applied Catalysis,3071-4559,https://portal.issn.org/resource/ISSN/3071-4559,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Applied Electronic Materials,2637-6113,https://portal.issn.org/resource/ISSN/2637-6113,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Applied Energy Materials,2574-0962,https://portal.issn.org/resource/ISSN/2574-0962,https://pubs.acs.org/journal/aaemcq,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Applied Engineering Materials,2771-9545,https://portal.issn.org/resource/ISSN/2771-9545,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,https://portal.issn.org/resource/ISSN/1944-8252,https://pubs.acs.org/journal/aamick,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Applied Nano Materials,2574-0970,https://portal.issn.org/resource/ISSN/2574-0970,https://pubs.acs.org/journal/aanmf6,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Applied Optical Materials,2771-9855,https://portal.issn.org/resource/ISSN/2771-9855,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Applied Polymer Materials,2637-6105,https://portal.issn.org/resource/ISSN/2637-6105,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Biomaterials Science & Engineering,2373-9878,https://portal.issn.org/resource/ISSN/2373-9878,https://pubs.acs.org/journal/abseba,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Catalysis,2155-5435,https://portal.issn.org/resource/ISSN/2155-5435,https://pubs.acs.org/journal/accacs,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Chemical Biology,1554-8937,https://portal.issn.org/resource/ISSN/1554-8937,https://pubs.acs.org/journal/acbcct,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Chemical Neuroscience,1948-7193,https://portal.issn.org/resource/ISSN/1948-7193,https://pubs.acs.org/journal/acncdm,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Earth and Space Chemistry,2472-3452,https://portal.issn.org/resource/ISSN/2472-3452,https://pubs.acs.org/journal/aesccq,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Electrochemistry,2997-0571,https://portal.issn.org/resource/ISSN/2997-0571,https://pubs.acs.org/journal/aeclc7,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Energy Letters,2380-8195,https://portal.issn.org/resource/ISSN/2380-8195,https://pubs.acs.org/journal/aelccp,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS ES&T Air,2837-1402,https://portal.issn.org/resource/ISSN/2837-1402,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS ES&T Engineering,2690-0645,https://portal.issn.org/resource/ISSN/2690-0645,https://pubs.acs.org/journal/aeecco,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
